[2025-03-14 07:21:27] INFO  ListenersClass - Test passed: accountManagement
[2025-03-14 07:21:27] INFO  ListenersClass - Test started: accountManagement
[2025-03-14 07:21:28] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:28] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:28] INFO  IndexTest - actual :Sauce Labs Backpack
 expected: Sauce Labs Backpack
[2025-03-14 07:21:28] INFO  ListenersClass - Test passed: verifyProductDetails
[2025-03-14 07:21:28] INFO  ActionsClass - Successfully Found element at
[2025-03-14 07:21:28] INFO  ActionsClass - The element is Displayed
[2025-03-14 07:21:28] INFO  CartTest - ------Checkout-------- 
[2025-03-14 07:21:28] INFO  ListenersClass - Test passed: Checkout
[2025-03-14 07:21:28] INFO  ListenersClass - Test started: OrderItem
[2025-03-14 07:21:28] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:28] INFO  ActionsClass - Successfully Found element at
[2025-03-14 07:21:28] INFO  ActionsClass - The element is Displayed
[2025-03-14 07:21:28] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:28] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:28] INFO  ListenersClass - Test passed: OrderItem
[2025-03-14 07:21:29] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:29] INFO  ListenersClass - Test passed: accountManagement
[2025-03-14 07:21:29] INFO  ListenersClass - Test started: veryfyErrorText
[2025-03-14 07:21:34] ERROR ListenersClass - Test failed: veryfyErrorText
[2025-03-14 07:21:34] INFO  ListenersClass - Test started: veryfyLogedOut
[2025-03-14 07:21:34] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:35] INFO  ActionsClass - Click Action is performed
[2025-03-14 07:21:35] INFO  ActionsClass - Successfully Found element at
[2025-03-14 07:21:35] INFO  ActionsClass - The element is Displayed
[2025-03-14 07:21:35] INFO  ListenersClass - Test passed: veryfyLogedOut
[2025-03-14 07:21:36] INFO  ListenersClass - Test suite finished: Edge Tests
